precipitation (mm),sunshine (min),mean temperature (°C),mean max daily temperature (°C),mean min daily temperature (°C),date
945.1,99753.0,2.3,7.6,-2.9,1914-10-01
1048.3,97771.0,2.2,7.3,-2.5,1915-10-01
988.9,111156.0,2.2,7.4,-2.9,1916-10-01
825.3,106304.0,1.8,7.1,-3.1,1917-10-01
953.5,105488.0,2.0,7.6,-2.8,1918-10-01
1262.1,97011.0,2.4,7.9,-2.3,1919-10-01
653.2,112600.0,3.2,9.6,-1.6,1920-10-01
1079.2,99725.0,2.2,7.6,-2.7,1921-10-01
866.4,102073.0,2.0,7.3,-3.1,1922-10-01
1146.4,102506.0,1.9,7.1,-2.9,1923-10-01
713.7,106794.0,2.5,7.7,-2.3,1924-10-01
1023.7,100453.0,2.5,7.6,-2.3,1925-10-01
1147.5,106908.0,2.7,7.9,-2.2,1926-10-01
919.4,115579.0,3.2,8.4,-1.7,1927-10-01
906.6,118973.0,1.9,7.3,-3.1,1928-10-01
918.9,100431.0,3.2,8.4,-1.7,1929-10-01
1132.3,101138.0,1.9,7.5,-3.0,1930-10-01
805.3,108343.0,2.1,7.7,-2.9,1931-10-01
895.6,99366.0,2.4,7.8,-2.5,1932-10-01
929.7,106957.0,2.6,8.3,-2.6,1933-10-01
1127.7,104175.0,2.2,7.7,-3.1,1934-10-01
1079.7,85134.0,2.8,8.0,-1.8,1935-10-01
1089.0,93643.0,2.4,7.6,-2.5,1936-10-01
875.9,104669.0,2.0,7.4,-3.0,1937-10-01
901.1,100156.0,2.5,7.9,-2.2,1938-10-01
1181.4,94210.0,1.8,7.2,-3.0,1939-10-01
836.0,102002.0,1.5,7.4,-3.3,1940-10-01
889.8,106894.0,2.0,7.7,-2.7,1941-10-01
957.8,113767.0,3.2,9.0,-1.7,1942-10-01
839.0,103610.0,2.3,8.1,-2.5,1943-10-01
1134.4,110698.0,2.3,8.2,-2.5,1944-10-01
974.7,104895.0,2.9,8.9,-2.0,1945-10-01
818.9,114844.0,3.3,9.3,-1.9,1946-10-01
1234.0,103447.0,3.1,9.0,-1.8,1947-10-01
734.3,119667.0,3.3,9.5,-1.9,1948-10-01
1017.3,110668.0,3.3,9.3,-1.5,1949-10-01
1074.1,93841.0,2.3,8.0,-2.6,1950-10-01
914.5,104031.0,3.0,8.7,-1.9,1951-10-01
1018.4,99347.0,1.8,7.6,-2.8,1952-10-01
1093.4,90066.0,2.3,8.0,-2.2,1953-10-01
1059.6,100900.0,2.2,7.7,-2.3,1954-10-01
948.2,101199.0,1.5,7.3,-3.2,1955-10-01
941.7,98036.0,2.4,8.0,-2.2,1956-10-01
919.9,111239.0,2.8,8.6,-2.0,1957-10-01
728.0,104278.0,3.2,8.7,-1.4,1958-10-01
1073.5,99084.0,2.8,8.1,-1.8,1959-10-01
892.6,107275.0,3.4,8.8,-1.3,1960-10-01
832.1,113233.0,2.3,7.6,-2.7,1961-10-01
898.4,98880.0,1.6,6.9,-3.3,1962-10-01
715.2,111011.0,3.2,8.7,-1.6,1963-10-01
1184.8,86697.0,1.6,6.5,-2.9,1964-10-01
1116.4,99611.0,2.7,8.0,-2.1,1965-10-01
1102.3,97474.0,2.6,7.7,-2.2,1966-10-01
1041.4,103231.0,2.6,8.0,-2.4,1967-10-01
894.5,102119.0,3.1,8.2,-1.8,1968-10-01
1141.0,99470.0,2.2,7.4,-2.7,1969-10-01
816.6,111807.0,2.9,8.3,-2.1,1970-10-01
701.4,101640.0,3.1,8.1,-1.6,1971-10-01
923.2,107130.0,2.8,8.0,-2.1,1972-10-01
1132.8,101710.0,2.9,8.0,-1.8,1973-10-01
1068.6,97001.0,2.7,7.6,-2.0,1974-10-01
912.9,110742.0,2.8,7.8,-2.0,1975-10-01
1126.2,89960.0,2.9,7.5,-2.0,1976-10-01
1069.9,93251.0,2.6,7.4,-2.2,1977-10-01
1055.4,105275.0,2.7,7.7,-2.1,1978-10-01
1126.0,91434.0,2.7,7.4,-2.1,1979-10-01
1202.1,90425.0,2.6,7.7,-2.1,1980-10-01
1136.1,95738.0,2.9,8.0,-1.9,1981-10-01
1085.9,91122.0,3.4,8.5,-1.4,1982-10-01
971.1,101639.0,2.0,7.1,-2.7,1983-10-01
940.7,108063.0,3.1,8.4,-1.9,1984-10-01
895.6,110792.0,2.9,8.2,-1.9,1985-10-01
1233.6,103720.0,2.8,8.0,-2.0,1986-10-01
1008.8,96265.0,3.8,8.8,-0.7,1987-10-01
824.4,107298.0,4.0,9.2,-0.5,1988-10-01
972.7,119223.0,4.2,9.8,-0.6,1989-10-01
754.6,111874.0,3.3,8.5,-1.4,1990-10-01
973.6,113219.0,3.6,9.0,-1.3,1991-10-01
1017.5,99247.0,3.6,8.7,-1.1,1992-10-01
1181.5,98406.0,4.0,9.0,-0.6,1993-10-01
1138.2,94956.0,3.6,8.5,-1.0,1994-10-01
811.0,112029.0,3.3,8.6,-1.4,1995-10-01
1061.5,108583.0,4.0,9.3,-0.7,1996-10-01
919.4,104965.0,4.1,9.4,-0.5,1997-10-01
1353.7,91760.0,3.3,8.2,-1.1,1998-10-01
1170.9,101811.0,3.6,8.9,-1.1,1999-10-01
1344.4,91019.0,4.0,8.9,-0.2,2000-10-01
1016.5,104794.0,4.0,9.3,-0.4,2001-10-01
944.3,119763.0,4.6,10.1,-0.2,2002-10-01
1057.0,99107.0,3.4,8.5,-1.1,2003-10-01
851.0,103374.0,3.4,8.7,-1.1,2004-10-01
809.5,107093.0,3.5,9.0,-1.3,2005-10-01
960.8,110075.0,5.1,10.7,0.4,2006-10-01
1103.9,106000.0,3.5,8.8,-1.0,2007-10-01
967.8,105752.0,3.8,9.0,-1.0,2008-10-01
1037.9,95290.0,3.0,8.1,-1.5,2009-10-01
945.0,112890.0,4.1,9.6,-0.6,2010-10-01
1269.2,113154.0,4.1,9.7,-0.6,2011-10-01
953.6,95195.0,3.7,8.8,-0.9,2012-10-01
1031.9,96361.0,4.4,9.6,0.0,2013-10-01
987.3,104706.0,4.9,10.2,0.4,2014-10-01
1161.1,103833.0,4.7,10.1,0.2,2015-10-01
1061.3,107813.0,4.6,10.0,-0.1,2016-10-01
998.3,106586.0,4.5,9.9,-0.2,2017-10-01
1300.3,110561.0,4.5,10.0,-0.0,2018-10-01
1167.6,108940.0,5.1,10.6,0.4,2019-10-01
989.6,105430.0,3.9,9.2,-0.6,2020-10-01
810.9,117173.0,4.8,10.4,-0.0,2021-10-01
974.3,105650.0,5.4,10.9,0.9,2022-10-01
1269.0,93040.0,5.5,10.5,1.1,2023-10-01
952.4,109426.0,5.4,11.0,0.7,2024-10-01
